GEO_UNIT,COM_UNIT,GEO_SUB,COM_SUB,GEO_SECT,COM_SECT,GEO_DIST,COM_DIST,POSTAREA,X_COORD,Y_COORD,USER_,DELR,DELN,DELL,DELALL,WARD,NHS,POSTTOWN,CL_STD,CL_3,CL_6,CL_15,CL_45,CL_150,CL_STD_Txt,CL_3_Txt,CL_6_Txt,CL_15_Txt,CL_45_Txt,CL_150_Txt,SAND,SAND_Txt,SILT,SILT_Txt,SOFT,SOFT_Txt,PEAT,PEAT_Txt,FLOOD,FLOOD_Txt,Exp,Exp_Txt
PO301DH,PO30 1DH,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449058,88333,N,0,1,0,1,MWPJ,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DJ,PO30 1DJ,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,448909,88293,R,22,0,0,22,MWPJ,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DL,PO30 1DL,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,448958,88312,R,10,0,0,10,MWPJ,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DN,PO30 1DN,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,448948,88172,R,7,0,0,7,MWPJ,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DP,PO30 1DP,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449041,88243,R,44,0,0,44,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DQ,PO30 1DQ,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449043,88463,R,26,0,0,26,MWPJ,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DR,PO30 1DR,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449293,88431,R,23,0,0,23,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DS,PO30 1DS,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449237,88480,R,32,0,0,32,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DT,PO30 1DT,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449291,88539,NR,44,1,0,45,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DU,PO30 1DU,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,449300,88600,R,5,0,0,5,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DW,PO30 1DW,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,448940,88028,R,5,0,0,5,MWQB,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301DX,PO30 1DX,PO301D,PO30 1D,PO301,PO30 1,PO30,PO30,PO,450148,88749,R,8,0,0,8,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EB,PO30 1EB,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449065,88141,R,30,0,0,30,MWQB,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301ED,PO30 1ED,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,448900,88000,R,12,0,0,12,MWPJ,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EE,PO30 1EE,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449700,88700,R,29,0,0,29,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EF,PO30 1EF,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449700,88600,NR,32,1,0,33,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EH,PO30 1EH,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449900,88700,R,8,0,0,8,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EJ,PO30 1EJ,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449906,88736,R,9,0,0,9,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
